FiberLength										
version=1										
nRows=4903										
nColumns=7										
inDegrees=no										
										
"This analysis gathers basic information about muscles during a simulation (e.g., forces, tendon lengths, moment arms, etc)."										
"Units are S.I. units (second, meters, Newtons, ...)"										
Angles are in degrees.										
										
endheader										
time	bifemlh_r	bifemsh_r	glut_max2_r	Vastus Intermedius	med_gas_r	tib_ant_r		Vastus Intermedius Optimal Fiber Length		
0.08427337	0.13823153	0.14841073	0.1537222	0.15232345	0.13329172	0.11427051	71	0.12617328		
0.08465283	0.13822175	0.14844028	0.1537038	0.15227307	0.13331684	0.11428476	72	0.12617328		
0.08547125	0.13820058	0.14850448	0.15366373	0.15216406	0.13337131	0.11431534	73	0.12617328		
0.08628967	0.13817899	0.14856929	0.15362314	0.15205455	0.13342623	0.11434571	74	0.12617328		
0.08710809	0.13815714	0.14863471	0.15358204	0.15194455	0.13348157	0.11437587	75	0.12617328		
0.08817022	0.13812825	0.14872053	0.15352791	0.15180104	0.13355403	0.11441471	76	0.12617328		
0.08838932	0.13812234	0.14873837	0.15351664	0.15177134	0.13356906	0.11442268	77	0.12617328		
0.08878512	0.13811145	0.14877069	0.15349619	0.1517176	0.1335963	0.11443703	78	0.12617328		
0.0893777	0.13809472	0.14881934	0.15346533	0.1516369	0.13363727	0.11445843	79	0.12617328		
0.08983409	0.1380821	0.14885705	0.15344138	0.15157459	0.13366897	0.11447483	80	0.12617328		
0.09037833	0.13806654	0.14890224	0.15341261	0.15150008	0.13370695	0.1144943	81	0.12617328		
0.09092257	0.13805118	0.14894773	0.15338361	0.15142537	0.13374512	0.11451368	82	0.12617328		
0.09133964	0.13803921	0.14898276	0.15336124	0.15136797	0.13377449	0.11452847	83	0.12617328		
0.09172861	0.13802773	0.14901556	0.15334024	0.1513143	0.13380199	0.11454221	84	0.12617328		
0.09225909	0.13801215	0.14906053	0.15331142	0.15124093	0.13383962	0.11456087	85	0.12617328		
0.09278956	0.13799692	0.14910578	0.15328238	0.15116743	0.13387745	0.11457944	86	0.12617328		
0.09319692	0.13798476	0.14914068	0.15325993	0.1511108	0.13390661	0.11459364	87	0.12617328		
0.09358145	0.13797316	0.14917377	0.15323863	0.15105724	0.13393423	0.11460699	88	0.12617328		
0.09408269	0.1379582	0.14921711	0.15321067	0.15098729	0.13397037	0.11462432	89	0.12617328		
0.09458392	0.13794295	0.14926067	0.15318254	0.15091715	0.13400667	0.11464157	90	0.12617328		
0.09520956	0.13792403	0.14931537	0.15314712	0.15082934	0.13405217	0.11466299	91	0.12617328		
0.09570602	0.13790873	0.14935903	0.15311883	0.15075952	0.13408849	0.11467989	92	0.12617328		
0.09579988	0.13790608	0.14936732	0.15311345	0.15074631	0.13409536	0.11468308	93	0.12617328		
0.09597618	0.1379009	0.1493829	0.15310332	0.15072143	0.13410827	0.11468906	94	0.12617328		
0.09657241	0.13788165	0.14943575	0.15306896	0.15063716	0.13415218	0.1147092	95	0.12617328		
0.09681164	0.13787456	0.14945707	0.15305508	0.15060332	0.13416984	0.11471724	96	0.12617328		
0.09722299	0.13786115	0.14949381	0.15303112	0.15054493	0.13420029	0.11473104	97	0.12617328		
0.09766736	0.13784826	0.14953374	0.15300511	0.15048191	0.13423332	0.11474587	98	0.12617328		
0.09811172	0.13783254	0.14957373	0.1529789	0.15041844	0.13426644	0.11476065	99	0.12617328		
0.0981579	0.13783128	0.14957791	0.15297618	0.15041189	0.13426989	0.11476218	100	0.12617328		
0.09832827	0.1378269	0.14959337	0.15296611	0.15038771	0.13428265	0.11476782	101	0.12617328		
0.09861856	0.13781722	0.14961967	0.15294887	0.15034619	0.13430437	0.11477741	102	0.12617328		
0.09874913	0.13781298	0.14963154	0.1529411	0.15032753	0.13431418	0.11478172	103	0.12617328		
0.0991942	0.13779883	0.14967211	0.15291448	0.15026383	0.13434766	0.11479636	104	0.12617328		
0.09959778	0.13778515	0.14970902	0.15289024	0.1502063	0.13437812	0.11480956	105	0.12617328		
0.09972969	0.13778099	0.14972113	0.15288229	0.15018696	0.1343881	0.11481387	106	0.12617328		
0.10000986	0.13777294	0.14974693	0.15286534	0.15014677	0.13440931	0.114823	107	0.12617328		
0.10063878	0.13775076	0.14980495	0.1528271	0.15005602	0.13445712	0.11484339	108	0.12617328		
0.10119032	0.13773468	0.14985629	0.15279326	0.14997653	0.13449925	0.11486118	109	0.12617328		
0.10188082	0.13770946	0.1499207	0.15275066	0.14987628	0.13455221	0.11488327	110	0.12617328		
0.10194987	0.13770873	0.14992726	0.15274633	0.1498664	0.13455753	0.11488549	111	0.12617328		
0.10201893	0.13770727	0.14993378	0.15274201	0.14985644	0.13456286	0.1148877	112	0.12617328		
0.10236418	0.13769412	0.14996616	0.15272058	0.14980613	0.13458946	0.11489865	113	0.12617328		
0.10250029	0.13769063	0.14997904	0.15271205	0.14978643	0.13459997	0.11490297	114	0.12617328		
0.10282617	0.13767777	0.15000975	0.15269163	0.14973879	0.1346252	0.11491329	115	0.12617328		
0.10324416	0.13766566	0.15004945	0.15266536	0.14967802	0.13465762	0.11492644	116	0.12617328		
0.10359462	0.13765116	0.15008271	0.15264312	0.14962652	0.13468491	0.11493747	117	0.12617328		
0.10365801	0.13764974	0.15008878	0.15263912	0.14961732	0.13468984	0.11493945	118	0.12617328		
0.10379428	0.13764641	0.15010182	0.15263051	0.14959753	0.13470046	0.11494369	119	0.12617328		
0.10408854	0.13763567	0.15012994	0.15261176	0.14955436	0.13472346	0.11495288	120	0.12617328		
0.1042054	0.13763227	0.15014116	0.15260431	0.14953728	0.13473259	0.11495651	121	0.12617328		
0.10454237	0.1376199	0.15017348	0.15258274	0.14948775	0.134759	0.11496698	122	0.12617328		
0.10492303	0.13760678	0.15021014	0.15255828	0.14943179	0.13478891	0.11497875	123	0.12617328		
0.10504876	0.13760243	0.15022228	0.15255017	0.14941329	0.1347988	0.11498263	124	0.12617328		
0.10528203	0.13759445	0.15024484	0.1525351	0.14937894	0.13481718	0.11498981	125	0.12617328		
0.10575165	0.13757805	0.15029041	0.15250462	0.14930966	0.13485429	0.11500421	126	0.12617328		
