FiberVelocity						
version=1						
nRows=4903						
nColumns=7						
inDegrees=no						
						
"This analysis gathers basic information about muscles during a simulation (e.g., forces, tendon lengths, moment arms, etc)."						
"Units are S.I. units (second, meters, Newtons, ...)"						
Angles are in degrees.						
						
endheader						
time	bifemlh_r	bifemsh_r	glut_max2_r	Vastus Intermedius	med_gas_r	tib_ant_r
0.08427337	-0.03110696	0.07838879	-0.05189223	-0.13345274	0.06631752	0.03667778
0.08465283	-0.03126387	0.07873595	-0.0521812	-0.13373237	0.06656024	0.03655563
0.08547125	-0.03161245	0.07947353	-0.05280338	-0.13433933	0.06709137	0.03628979
0.08628967	-0.03195088	0.08021461	-0.05342658	-0.13494439	0.06759944	0.03602263
0.08710809	-0.03229276	0.08095617	-0.05405132	-0.13554964	0.06812159	0.03575441
0.08817022	-0.0327275	0.08191844	-0.05485958	-0.13631826	0.06879611	0.03540167
0.08838932	-0.03282558	0.082112	-0.0550274	-0.13648548	0.06894138	0.03532922
0.08878512	-0.03298968	0.08247206	-0.0553312	-0.13677849	0.06919363	0.03519838
0.0893777	-0.03321345	0.08301768	-0.05578198	-0.13719219	0.06954737	0.03499902
0.08983409	-0.03341368	0.08342005	-0.05613078	-0.13753421	0.06984483	0.03484587
0.09037833	-0.03362192	0.08392444	-0.0565479	-0.13791872	0.0701795	0.03466319
0.09092257	-0.03385473	0.08440417	-0.05696363	-0.13832239	0.0705205	0.03447885
0.09133964	-0.03402491	0.08478198	-0.05728414	-0.13862684	0.07078146	0.0343382
0.09172861	-0.03416357	0.08514501	-0.05758093	-0.13888979	0.07100964	0.03420534
0.09225909	-0.03436649	0.08563747	-0.05798655	-0.13925084	0.07136037	0.034024
0.09278956	-0.03460569	0.08608684	-0.0583932	-0.13966403	0.07166818	0.03384259
0.09319692	-0.03475934	0.08646455	-0.05870537	-0.139942	0.07192806	0.03370273
0.09358145	-0.03490023	0.08682339	-0.05900052	-0.14020282	0.07216601	0.03357058
0.09408269	-0.03510217	0.08726981	-0.05938425	-0.1405611	0.07246808	0.03339721
0.09458392	-0.03529023	0.08773096	-0.05977097	-0.14091331	0.07276053	0.0332249
0.09520956	-0.03554496	0.08829285	-0.06024684	-0.14133532	0.07319804	0.03300522
0.09570602	-0.03573324	0.08872959	-0.06063336	-0.14171858	0.07339721	0.03283512
0.09579988	-0.03578898	0.08879801	-0.06070334	-0.14179285	0.07347501	0.03280119
0.09597618	-0.03587819	0.0889485	-0.06083487	-0.14190725	0.07365213	0.03273747
0.09657241	-0.03605066	0.08953127	-0.06129715	-0.14228877	0.07394798	0.03253103
0.09681164	-0.03617324	0.08972181	-0.06148075	-0.14248042	0.07410532	0.03244691
0.09722299	-0.03629164	0.09013282	-0.06179556	-0.14271307	0.07437671	0.03230155
0.09766736	-0.03655171	0.090447	-0.06214027	-0.14312652	0.07460788	0.03214657
0.09811172	-0.03659434	0.09096773	-0.0624766	-0.14327401	0.07492457	0.03198671
0.0981579	-0.03662863	0.09099152	-0.06251335	-0.14333053	0.07493374	0.03197104
0.09832827	-0.03677753	0.09106423	-0.06264855	-0.14355342	0.07499346	0.03191293
0.09861856	-0.03685637	0.09136839	-0.06287152	-0.14370048	0.07522532	0.03180974
0.09874913	-0.0369027	0.09148655	-0.06297346	-0.14379454	0.07528346	0.03176421
0.0991942	-0.03708583	0.09186276	-0.06331106	-0.14410384	0.07553771	0.03160359
0.09959778	-0.03719014	0.0922708	-0.0636261	-0.14468562	0.07575072	0.03146204
0.09972969	-0.0372507	0.09238059	-0.06372768	-0.14444174	0.07583354	0.03141501
0.10000986	-0.03744249	0.09255674	-0.063941	-0.14470432	0.07603096	0.03131385
0.10063878	-0.03755455	0.09323978	-0.06442989	-0.14501105	0.07638859	0.03109091
0.10119032	-0.03793171	0.09355163	-0.06484444	-0.14554228	0.07667885	0.03088819
0.10188082	-0.03801063	0.09436468	-0.06538964	-0.14583293	0.07711782	0.03064571
0.10194987	-0.03816211	0.09428707	-0.06543265	-0.14599481	0.07713094	0.03061605
0.10201893	-0.03825616	0.09427045	-0.06547971	-0.14610414	0.07714994	0.03058827
0.10236418	-0.03825913	0.09473756	-0.06576203	-0.14621674	0.07741643	0.03047119
0.10250029	-0.0383971	0.09476872	-0.06586238	-0.14638953	0.07748544	0.03041986
0.10282617	-0.03836871	0.09518267	-0.0661121	-0.1464605	0.07762873	0.03030118
0.10324416	-0.03868868	0.09542947	-0.06644449	-0.14691272	0.07790568	0.0301543
0.10359462	-0.03861218	0.09589117	-0.06669679	-0.14690415	0.0780702	0.03001879
0.10365801	-0.03869541	0.09590412	-0.06674977	-0.14700962	0.07812478	0.02999763
0.10379428	-0.03885263	0.09595037	-0.06686635	-0.14722749	0.0782186	0.02995331
0.10408854	-0.03890803	0.09624513	-0.06708859	-0.14736335	0.07835703	0.02984401
0.1042054	-0.03900049	0.09631118	-0.06718045	-0.14748786	0.07844251	0.02980224
0.10454237	-0.03906311	0.09666036	-0.06743937	-0.14764629	0.07861654	0.02967883
0.10492303	-0.03920661	0.09699866	-0.06773404	-0.14789488	0.07884329	0.02954026
0.10504876	-0.03925357	0.09710857	-0.06783027	-0.14797457	0.07891689	0.02949392
0.10528203	-0.03934925	0.09730809	-0.06801117	-0.14813574	0.07905189	0.0294089
0.10575165	-0.0395195	0.09771731	-0.06837356	-0.14844295	0.07928702	0.0292368
0.106014	-0.03962925	0.0979375	-0.06857721	-0.14862763	0.07943154	0.02914095
0.10630431	-0.03970702	0.09822915	-0.06880236	-0.14877771	0.07962572	0.02903477
0.10669173	-0.03989437	0.09852305	-0.06910152	-0.14907652	0.07982067	0.02889212
0.10683154	-0.03989887	0.09868723	-0.06920963	-0.14911998	0.07989192	0.02884072
0.10705819	-0.03997612	0.09888764	-0.06938409	-0.1492601	0.08000663	0.02875699
0.10733226	-0.04009629	0.0991295	-0.06959983	-0.14944848	0.08020989	0.02865752
0.10746929	-0.04011899	0.09927242	-0.06970573	-0.14950988	0.0802765	0.02860696
0.10780538	-0.04028401	0.09951917	-0.06996357	-0.14976804	0.08043846	0.02848197
0.10818692	-0.04041102	0.09984824	-0.07025591	-0.15000327	0.08060214	0.0283398
0.10830384	-0.04044298	0.09996581	-0.07034852	-0.15006809	0.08067393	0.02829739
0.10852414	-0.04051051	0.10019194	-0.07052242	-0.1501841	0.08085808	0.02821721
0.10891913	-0.04068711	0.10049634	-0.07082611	-0.15046934	0.08104441	0.02807
0.10916302	-0.04074552	0.10074087	-0.07101389	-0.15058395	0.08119939	0.02797911
0.1095409	-0.04092899	0.10102736	-0.07131138	-0.15088493	0.08136945	0.02784071
0.10964599	-0.04095717	0.10112684	-0.07139244	-0.15094026	0.08142382	0.0278015
0.10990492	-0.04099522	0.10139856	-0.07158732	-0.15102972	0.08158171	0.02770293
0.11023081	-0.04114334	0.101653	-0.07184157	-0.15127049	0.08173921	0.02758234
0.11039275	-0.04120373	0.10177957	-0.07196451	-0.15137609	0.08179325	0.02752102
0.1109546	-0.04140489	0.10232128	-0.07241027	-0.15170597	0.08223206	0.02731527
0.11151644	-0.04161131	0.10272643	-0.07283025	-0.1520772	0.08232456	0.0270996
0.11157263	-0.04163835	0.10278591	-0.07287725	-0.15211381	0.08239911	0.02707983
0.11172249	-0.04170009	0.10295417	-0.07300279	-0.15220134	0.08259748	0.02702714
0.11218442	-0.04182373	0.10336441	-0.0733557	-0.15244841	0.08276678	0.02685224
0.11231156	-0.04187049	0.1034764	-0.07345379	-0.15252217	0.0828496	0.02680436
0.11255681	-0.04200302	0.10366088	-0.07364576	-0.15270938	0.08301987	0.02671296
0.11291679	-0.04203296	0.10402365	-0.07391996	-0.15284476	0.08309354	0.02657586
0.11299695	-0.04208757	0.10408022	-0.07398236	-0.15290998	0.08317738	0.02654586
0.11314301	-0.04221211	0.10417466	-0.07410003	-0.15305406	0.0833602	0.02649267
0.11367586	-0.0424089	0.1046058	-0.07451418	-0.15340185	0.08355054	0.02629224
0.1138279	-0.04236601	0.10482389	-0.07462924	-0.15338561	0.08364431	0.02623409
0.11437154	-0.04281287	0.10507559	-0.0750595	-0.15397897	0.08393377	0.02603172
0.1144259	-0.04271175	0.10522061	-0.0750983	-0.15388801	0.08393988	0.02601012
0.1145409	-0.04257285	0.10546557	-0.07518295	-0.15377404	0.08396198	0.02596526
0.11478255	-0.04279353	0.10556397	-0.07536722	-0.15403135	0.08416148	0.02587277
0.11488222	-0.04274544	0.10572362	-0.07544466	-0.15400701	0.0842062	0.02583514
0.11512747	-0.04294527	0.1058294	-0.07564098	-0.15428558	0.08428957	0.02574446
0.11544717	-0.04288062	0.10626346	-0.07589114	-0.15429934	0.08443805	0.02562402
0.1155169	-0.04296809	0.10627215	-0.07594466	-0.1543966	0.08450155	0.02559743
0.11563854	-0.04317001	0.10623258	-0.07603257	-0.15460799	0.08460795	0.02554924
0.11608129	-0.0431721	0.10674576	-0.07638334	-0.15473468	0.08477205	0.02538376
0.11626393	-0.04330154	0.10683942	-0.07651967	-0.1548923	0.08488789	0.02531263
0.11649948	-0.04338807	0.10703078	-0.07670907	-0.15505699	0.08494416	0.02522535
0.11686803	-0.04343293	0.10742008	-0.07697694	-0.15512655	0.08524334	0.02507906
0.11690525	-0.04345783	0.10744353	-0.07700975	-0.15516973	0.08524768	0.02506623
0.11704569	-0.04359809	0.10748165	-0.07713665	-0.15539563	0.08521317	0.02501877
0.11732411	-0.043612	0.10779794	-0.07733924	-0.15542712	0.08544908	0.02490848
0.11742195	-0.04366066	0.10786943	-0.07741902	-0.15550777	0.08548056	0.02487252
0.11764301	-0.04372546	0.10804992	-0.07759089	-0.15563629	0.08552003	0.02478832
0.11797598	-0.0440073	0.10819459	-0.0778523	-0.15599113	0.08571755	0.02466242
0.11803222	-0.04399377	0.10826556	-0.07789247	-0.15598435	0.08574132	0.02463984
0.11815635	-0.04386938	0.10851718	-0.07798347	-0.15587265	0.08581533	0.0245907
0.11852952	-0.04412535	0.10871706	-0.07827737	-0.1562235	0.08597053	0.02444961
0.11865888	-0.04414752	0.10885847	-0.07837541	-0.15625661	0.08609286	0.02439941
0.11889461	-0.04413731	0.10912885	-0.07857219	-0.15634448	0.08607968	0.02431366
0.11925157	-0.04438085	0.10935563	-0.07882815	-0.15657572	0.08651591	0.02417041
0.11928727	-0.04437167	0.109397	-0.07886061	-0.15659386	0.08647327	0.02415824
0.11942154	-0.04433652	0.10954524	-0.07898003	-0.15665969	0.08629934	0.02411165
0.11968095	-0.04451587	0.10970641	-0.0791679	-0.15683596	0.08660055	0.02400807
0.11976565	-0.04451933	0.10979478	-0.07923826	-0.15687444	0.08659043	0.02397703
0.11998083	-0.0445507	0.11000839	-0.0794065	-0.15695727	0.08666527	0.02389494
0.12030122	-0.04469185	0.11025788	-0.07965507	-0.15715623	0.08685467	0.02377192
0.12035115	-0.04468863	0.11031136	-0.07969147	-0.15716141	0.08686716	0.02375207
0.12047233	-0.04471223	0.11040804	-0.07977952	-0.15720869	0.08688122	0.02370385
0.12079769	-0.0448577	0.11069828	-0.08004648	-0.1574231	0.08713449	0.0235831
0.12091908	-0.04487619	0.11080487	-0.08013484	-0.15746076	0.08716805	0.02353473
0.12115507	-0.0450078	0.11093841	-0.08031699	-0.15765048	0.08721993	0.02344369
0.12157933	-0.04508	0.11134089	-0.0806377	-0.15779223	0.08740845	0.02327796
